Name,Agent Instructions,Areas,Contacts,Created,Deadline,Docs,Gelöscht,Inbox Items,Knowledge,Last Edited,Last Log Date,Last Log Title,Logs,Notes,Priority,Project ID,Status,Tasks,Tech Stack,Type
Personal Life,"Sammel-Bucket für Personal-Life-Inhalte: Health, Supplements, Family, Reflexion, persönliche Decisions die in keinen projekt-spezifischen Bucket gehören. Health-Daten als neutralen Research-Kontext behandeln, NIE diagnostisch interpretieren. Bei Family/Personal nicht ungefragt analysieren. Reflexive Tagebuch-Logs nur wenn Deniz explizit darum bittet. Travel-bezogenes bekommt zusätzlich Areas=Travel. Logs unterscheiden zwischen Decision (etwas geändert) und Note/Capture (Daten gespeichert ohne Verhaltensänderung).","Family, Health, Personal",,8. April 2026 21:05,,"Marokko Packliste — 02.04.–15.04.2026 (https://www.notion.so/33c91df4938681f48ef4e556f9cd13ae?pvs=21), Supplement Stack & Biohacking (https://www.notion.so/33c91df4938681c6a328f267ddc4bf15?pvs=21), Neurotransmitter Network (https://www.notion.so/33c91df493868104a704d7becf143bd0?pvs=21), Peptide Protokolle (https://www.notion.so/33c91df4938681daab8bdaa1f49f2773?pvs=21), Energie-Stabilität (https://www.notion.so/33c91df49386818c97ccd3ff95fe3b53?pvs=21), Haltung & Mobilität (https://www.notion.so/33c91df49386813599f9fe9e8262d815?pvs=21), Augenringe & Äußerlichkeiten (https://www.notion.so/33c91df49386819bb48eebb08e4d122e?pvs=21), Theoretischer Full Stack (https://www.notion.so/33c91df493868193bdddf18eaa298423?pvs=21), Profil — Deniz Özbek (https://www.notion.so/33c91df4938681f29f2bc1276ff062ef?pvs=21), Freelance & Automation Kontext (https://www.notion.so/33c91df4938681848a6cd70688b17d19?pvs=21)",No,,,8. April 2026 21:13,,,,,🟨 Niedrig,PRJ-1,In Progress,Zertifikate holen für CV (https://www.notion.so/33c91df4938680fdaa60e60547fd6f15?pvs=21),,Personal
HAYS CEMEA,"Werkstudent-Job bei HAYS AG. Power Automate Flows sind das Kernverantwortungsgebiet, Deniz ist sole Administrator. Christine Kampmann = Primary Contact. Bei HAYS-Themen IMMER: hays-context Skill checken (statischer Kontext), hays-flows Skill checken (7 Flows), hays-bu-matching Skill checken (Recruiter→BU), hays-branding Skill checken (für Outputs). Sensible Daten: HAYS-Events im Calendar = visibility=private. Aktueller Status, offene Tasks und laufende Themen: aus Tasks DB + Logs DB lesen, NICHT aus Skill oder Project Body.","Career, HAYS","Christine Kampmann (https://www.notion.so/33c91df4938681df890df6afd42754b0?pvs=21), Julia Renzikowski (https://www.notion.so/33c91df4938681be8149ceccba1a1fc1?pvs=21)",8. April 2026 21:16,,"HAYS Kontext (https://www.notion.so/33c91df4938681678297e85082b97680?pvs=21), Lizenzmanagement Lösung — Briefing & Konzept (https://www.notion.so/33c91df4938681c09af6d55d70005291?pvs=21), Power Automate Flows Dokumentation (https://www.notion.so/33c91df4938681a6bbbad32b1ed4548e?pvs=21)",No,,,8. April 2026 23:39,,,,,🟧 Aktiv,PRJ-2,In Progress,,"Power Automate, SharePoint",Internal
Bachelor Thesis,"Bachelor Thesis HdWM, Abgabe 15.06.2026 (HARTE Deadline). Methodik: Mayring qualitative Inhaltsanalyse. 7-9 HAYS-interne Experteninterviews in 2 Clustern (Operativ + Compliance/Legal), ~50% mit Wettbewerbs-/Implementierungsfokus. Bei jeder Thesis-Diskussion: Deadline-Bewusstsein. Aktueller Status (Interviewleitfaden, durchgeführte Interviews, Kapitel-Drafts): aus Tasks DB + Logs DB lesen, nicht aus Project Body raten. Betreuer: Prof. Dr. Christoph Sandbrink.","Career, Thesis","Prof. Dr. Christoph Sandbrink (https://www.notion.so/33c91df4938681d3828be3bde0e126d4?pvs=21), Christine Kampmann (https://www.notion.so/33c91df4938681df890df6afd42754b0?pvs=21), Anna Lüttgen (https://www.notion.so/33c91df493868171854cec203807cb73?pvs=21), Florian Gönnwein (https://www.notion.so/33c91df49386811ebe26db87ab7ae72b?pvs=21), Francis Davis (https://www.notion.so/33c91df49386815cbfe4ce2845116a44?pvs=21), Rob Norris (https://www.notion.so/33c91df49386815b9a7ccc84de466ef6?pvs=21), Johannes Leuschner (https://www.notion.so/33c91df4938681ac8100e03c801f1efc?pvs=21), Rini Kodzadziku (https://www.notion.so/33c91df493868121a278daf1a00d4dc8?pvs=21), Florian Meyer (https://www.notion.so/33c91df4938681bca748d34ca2918cba?pvs=21), Arda Sener (https://www.notion.so/33c91df493868195833cdf8e53aac3af?pvs=21), Lara Lünnemann (https://www.notion.so/33c91df4938681c18353f17255e90865?pvs=21), Leon Rädisch (https://www.notion.so/33c91df49386818da598fde895235c28?pvs=21), Felix Schwarz (https://www.notion.so/33c91df4938681ceaf99eddca25e2401?pvs=21)",8. April 2026 23:53,15. Juni 2026,"Thesis Konzept & Forschungsdesign (https://www.notion.so/33c91df4938681718a4dcd0bf010b3e2?pvs=21), Interviewleitfaden & Methodik (https://www.notion.so/33c91df4938681459d7eec4a253a476c?pvs=21), Interview-Protokolle (https://www.notion.so/33c91df493868199b9b6ce76cac57fce?pvs=21)",No,,,8. April 2026 23:53,,,,,🟥 Kritisch,PRJ-3,In Progress,,,Studium
Resolvia AI,"Resolvia AI = Stripe→Attio Sync Freelance-Auftrag von David Schreiner, 500€ Budget. Pattern basiert auf HeroSoftware WF1 (Mantle→Attio). Voraussetzung: David muss Domain in Stripe Metadata einbauen + API-Zugänge bereitstellen. Bei Fragen zur Match-Kaskade oder Workflow-Details: aktueller Stand lebt in Logs, technische Spec wird später in Docs angelegt wenn Implementierung startet.",Client Work,David Schreiner (https://www.notion.so/33c91df49386816185c5d979747fdbb7?pvs=21),9. April 2026 00:02,,,No,,,9. April 2026 00:02,7. Apr. 2026,Call mit David Schreiner — Stripe→Attio Scope + Domain-Implementierung,Call mit David Schreiner — Stripe→Attio Scope + Domain-Implementierung (https://www.notion.so/33c91df4938681e39df0f68c7aa975ba?pvs=21),,🟨 Niedrig,PRJ-4,In Progress,,"Attio, Stripe, n8n",Client
PulsePeptides,"PulsePeptides = Peptide E-Commerce von Kalani. PulseBot (Slack) steuert Batch-Lifecycle via n8n Cloud. 3 Workflows: PulseBot Router, PulseBot Interactivity, Janoshik Backfill. Google Sheet mit 17 Spalten als Single Source of Truth. Bei Workflow-Fragen Docs 'PulseBot n8n Workflows' + 'Janoshik OCR Pipeline' checken. Slack 3s-Timeout Pattern beachten. Gmail Send Lab Email MUSS erfolgreich sein bevor Status-Update. Aktueller Stand offener Tasks und Features: aus Tasks DB + Logs DB lesen.",Client Work,Kalani Ginepri (https://www.notion.so/33c91df4938681258cb7cf3407d00b63?pvs=21),9. April 2026 00:10,,"PulseBot n8n Workflows (https://www.notion.so/33c91df4938681648ab1eaa1d1e740b7?pvs=21), Janoshik OCR Pipeline (https://www.notion.so/33c91df4938681b08287c61eb457d405?pvs=21)",No,,,9. April 2026 00:10,,,,,🟧 Aktiv,PRJ-5,In Progress,,"Python, n8n",Client
BellaVie,"BellaVie = Beauty-Salon Neunkirchen (Maddox Yakymenskyy, Freund+Kunde). Website (Framer) + Fresha Booking + lokale SEO. Stack: Framer. Aktueller Stand offener Tasks und Portale-Status: aus Tasks DB + Logs DB lesen, NICHT aus Project Body raten.",Client Work,Maddox Yakymenskyy (https://www.notion.so/33c91df4938681289a86c094c4cc6b58?pvs=21),9. April 2026 00:18,,"BellaVie Stammdaten & Portale (https://www.notion.so/33c91df4938681bc823ff2d9aca24591?pvs=21), Website & Booking (Framer) (https://www.notion.so/33c91df493868170809fd9ba992e7611?pvs=21), Fresha Setup & Preisliste (https://www.notion.so/33c91df4938681cfaeccea992f9d06eb?pvs=21)",No,,,9. April 2026 00:18,,,,,🟨 Niedrig,PRJ-6,In Progress,"SEO-Strategie für BellaVie aufstellen (https://www.notion.so/33c91df4938681fc9e9ceaa63acf3f80?pvs=21), Abrechnung Hero+Maddox (https://www.notion.so/34291df49386801ab98bfedb9c10f49e?pvs=21)",Framer,Client
coralate,"coralate = iOS-first Fitness-App mit Cora AI Korrelations-Engine. Repo: parabllm/coralate (Folder corelate-v3). Supabase Project vviutyisqtimicpfqbmi (eu-west-1). Stack: Expo SDK 55, RN 0.83, Zustand 5, Skia, Supabase. Deniz ist Co-Founder + Frontend/AI-Dev. Cora hat 3 Modi (Proaktiv/Card-QA/Home-RAG), strikt kein SaMD. KRITISCH: 'Coralate Performance Index' niemals als Gesundheits-/Erholungswert beschreiben. Detaillierte Cora AI Architektur + System Prompts: Doc 'Cora AI Architecture'. Tech Stack + NOT-Installed-Liste: Doc 'Tech Stack & Conventions'. Design Tokens + Forbidden Border-Radius: Doc 'Design System'. Aktuelle Sprint-Status + offene Tasks: aus Tasks DB + Logs DB + Cora HQ, NICHT aus Project Body raten.",coralate,"Jann Allenberger (https://www.notion.so/33c91df4938681c58111e417c837ecba?pvs=21), Lars Blum (https://www.notion.so/33c91df49386813cbabbd79520150401?pvs=21)",9. April 2026 00:48,,"Cora AI Architecture (https://www.notion.so/33c91df4938681349e4ade9556c51ba6?pvs=21), Tech Stack & Conventions (https://www.notion.so/33c91df4938681c8a9bef128194cbe0b?pvs=21), Design System (https://www.notion.so/33c91df49386819183aede8aa5bca919?pvs=21), Cora Backend — Sprint 2 Continuity Doc (Pre-Food-Scanner Bridge) (https://www.notion.so/33f91df4938681b08d77ccf8662d1025?pvs=21), Food Scanner — Architecture Lock & Open Questions (V5.1 pending) (https://www.notion.so/33f91df493868149a4aedf121b2a796a?pvs=21), Food Scanner Master — Stack, DB-Harmonisierung, Build-Plan (https://www.notion.so/33f91df49386818fb7fdf8086abf4b44?pvs=21), Food Scanner Build Log — Safety, Sequence, Sessions (https://www.notion.so/33f91df49386812e92f8c91983278b21?pvs=21), Food Scanner Execution Plan — Step-by-Step (https://www.notion.so/33f91df493868197bec3cd01d4bab225?pvs=21), Coralate Food Scanner Skill — Verdichtetes Wissen (https://www.notion.so/33f91df4938681248a73ddd9aede9682?pvs=21), Food Scanner Handover — STEP 1+2 Done, STEP 3 Ready (https://www.notion.so/34091df4938681179d0de9dc2ff829f5?pvs=21), Food Scanner Status — STEP 3 Done, Pipeline Adjustments for Edge Function (https://www.notion.so/34091df4938681989eaadf7eba915b3e?pvs=21), Food Scanner v2 Architecture — Post-Jann Adjustments, Ready for Edge Function (https://www.notion.so/34091df4938681549168f91af273bc0d?pvs=21), Edge Function Build — Handover-Prompt für nächsten Chat (https://www.notion.so/34091df4938681148dd4d575fbae4baa?pvs=21), Food Scanner Retrieval — Taxonomy Research Findings (20 Categories) (https://www.notion.so/34091df4938681aca08be3e64bb2058e?pvs=21), Food Scanner — Master Architecture & Flow (v8) (https://www.notion.so/34191df493868161bdb9ce33655009f7?pvs=21), Roadmap Nutrient DB (https://www.notion.so/34291df49386816db41ec8f48e7eea56?pvs=21)",No,,,9. April 2026 00:48,13. Apr. 2026,"Food Scanner Architecture — Stack festgezogen, V5.1 Research läuft,V5.1 Reports zurück — Hybrid 3-Tier Architektur bestätigt, Geo via RRF,Phase 1 Daten-Uploads komplett, INFOODS als Harmonisierungs-Achse identifiziert,Go für Food Scanner Build-Phase — Scope 5 DBs + OFF, Safety-Rails definiert,STEP 3 Import durch, Pipeline-Anpassungen von Jann,Borrowing läuft, food_scan_cache + Edge Function nächste Schritte,Stand-Snapshot: Borrowing durch, vor Kategorie-Fix,Food Scanner — Session-Abschluss 13.04.2026 (Master-Doc erstellt, Auth gelöst, 9 Docs archiviert),Food Scanner Pipeline Production-Ready — Master-Doc DOC-62 erstellt, 9 alte Docs deprecated, Chat-Übergabe vorbereitet,DB Reset + Clean Re-Import done, bereit fuer Multi-Layer-Design,Kritische Einsicht — Matching-System ist Grundinfrastruktur für Backfill, Borrowing und Retrieval","Food Scanner Architecture — Stack festgezogen, V5.1 Research läuft (https://www.notion.so/33f91df493868143b35fc7943121c3cd?pvs=21), V5.1 Reports zurück — Hybrid 3-Tier Architektur bestätigt, Geo via RRF (https://www.notion.so/33f91df4938681309b54d200eb225736?pvs=21), Phase 1 Daten-Uploads komplett, INFOODS als Harmonisierungs-Achse identifiziert (https://www.notion.so/33f91df4938681af9a92dd8e5f401b11?pvs=21), Go für Food Scanner Build-Phase — Scope 5 DBs + OFF, Safety-Rails definiert (https://www.notion.so/33f91df4938681fab7d8c324c0ddd9f8?pvs=21), STEP 3 Import durch, Pipeline-Anpassungen von Jann (https://www.notion.so/34091df493868102aac1f1ba838c54a4?pvs=21), Borrowing läuft, food_scan_cache + Edge Function nächste Schritte (https://www.notion.so/34091df4938681c0bdb8efa67e62b864?pvs=21), Stand-Snapshot: Borrowing durch, vor Kategorie-Fix (https://www.notion.so/34091df4938681fcbfd8f1cbb5990a1e?pvs=21), Food Scanner — Session-Abschluss 13.04.2026 (Master-Doc erstellt, Auth gelöst, 9 Docs archiviert) (https://www.notion.so/34191df4938681439c2fee22e2ea56bc?pvs=21), Food Scanner Pipeline Production-Ready — Master-Doc DOC-62 erstellt, 9 alte Docs deprecated, Chat-Übergabe vorbereitet (https://www.notion.so/34191df493868197be4df259e8dd59a1?pvs=21), DB Reset + Clean Re-Import done, bereit fuer Multi-Layer-Design (https://www.notion.so/34191df493868103ad96c2d47598efeb?pvs=21), Kritische Einsicht — Matching-System ist Grundinfrastruktur für Backfill, Borrowing und Retrieval (https://www.notion.so/34291df4938681f9907ec7e867cb29c2?pvs=21)",,🟧 Aktiv,PRJ-7,In Progress,,"Python, React Native, Supabase",Product
Terminbuchungs-App,"Terminbuchungs-App = Deniz' eigenes SaaS-Produkt, Fresha-Alternative. Geparkt bis nach Thesis-Abgabe (15.06.2026). Stack: React Native + Expo + Supabase (gleich wie coralate, bewusste Wahl). BellaVie ist geplanter erster Framework-Client — Dogfood-Case mit bestehender Fresha-Struktur. Strategische Rationale: technischer Leverage statt reiner Service-Abhängigkeit. Minimal angelegt, nichts Finales — Details kommen wenn das Projekt nach Thesis aktiviert wird. Nicht mit coralate vermischen (coralate = Fitness, Terminbuchung = Booking).","Career, Personal",,9. April 2026 01:21,,Terminbuchungs-App — Konzept & Stand (https://www.notion.so/33c91df493868146878ed4e671a45a84?pvs=21),No,,,9. April 2026 01:21,,,,,⬜ Geparkt,PRJ-9,Parked,,"React Native, Supabase",Product
Thalor Agency,"Thalor = Deniz' eigene Freelance-Agency-Brand. Keine externe Firma, kein Client. Umbrella über alle Client-Projekte (HeroSoftware, Resolvia, PulsePeptides, BellaVie). Rechtsform: Freiberufler, Kleinunternehmer §19 UStG. ELSTER-Anmeldung offen. Website auf Hetzner (Repo paralm/thalor-website). Core Stack: n8n, Attio, Clay, LGM, Supabase, Stripe, Framer. Attio ist SSOT für alle Client-CRMs. Details zu Architektur-Prinzipien im Project Body. Minimal angelegt — aktuelle Client-Arbeit gehört in die jeweiligen Client-Projekte, nicht hier.",Client Work,,9. April 2026 01:21,,Thalor — Übersicht & Architektur-Prinzipien (https://www.notion.so/33c91df493868160865eeafd4279c331?pvs=21),No,,,9. April 2026 01:21,,,,,🟧 Aktiv,PRJ-8,In Progress,,"Attio, Clay, Framer, Hetzner, Python, Stripe, Supabase, n8n",Internal
HeroSoftware,"HeroSoftware = größter aktiver Thalor-Client von Robin Kronshagen. Pipeline: Mantle (Shopify Billing) → Attio (CRM SSOT) → Clay (Enrichment) → La Growth Machine (Outreach). 1 n8n Workflow (WF1 Webhook in n8n Cloud) + 4 Hetzner Skripte (daily-sync 6h, lgm-push Di 7h, lgm-status-sync 12h, wf1-backup jeden 2. So 1h). Detail-Docs pro Komponente sind separate Docs unter diesem Projekt. Architektur ist gelocked: Attio=SSOT, Clay nur für Outbound-Ready, Batch-Jobs als Hetzner Scripts. WF5 Billing Sync ist VERWORFEN. Activity Notes sind in WF1 Node 17 integriert (kein WF6). Aktueller Status gehört in Logs DB — nicht in den Project Body.",Client Work,Robin Kronshagen (https://www.notion.so/33d91df49386819ca534ea7fd5570bc1?pvs=21),9. April 2026 11:26,,"WF1 — Mantle → Attio (n8n Cloud Webhook) (https://www.notion.so/33d91df4938681909b83f52013e0ad0c?pvs=21), Skript: daily-sync.mjs (https://www.notion.so/33d91df4938681fe9e4ace1c03860d9e?pvs=21), Skript: lgm-push.mjs (Attio → LGM) (https://www.notion.so/33d91df4938681fbb26bc412f78dfcbf?pvs=21), Skript: lgm-status-sync.mjs (LGM → Attio) (https://www.notion.so/33d91df4938681bc94b7dcbb1055f4ea?pvs=21), Skript: wf1-backup.mjs (WF1 Recovery + Backfill) (https://www.notion.so/33d91df4938681e6835ef4bd6f78443e?pvs=21), Clay Integration (Templates, Tables, Tier System) (https://www.notion.so/33d91df49386812aa865f5f3caeaabef?pvs=21), LGM Integration (Audiences, IDs, Mapping) (https://www.notion.so/33d91df49386816c9839cf2126735662?pvs=21), Hetzner Server Setup (HeroSoftware) (https://www.notion.so/33d91df493868141b5b3ddf1af6c7306?pvs=21), n8n Debug & Fix Tracker (https://www.notion.so/33d91df4938681fd854ec8c693d06528?pvs=21)",No,,,9. April 2026 11:26,13. Apr. 2026,"Production-Ready Refactor — alle 4 Scripts gebaut, daily-sync + LGM Auth-Checks validiert,Phase 2 komplett validiert, Repo auf GitHub privat gesichert","Production-Ready Refactor — alle 4 Scripts gebaut, daily-sync + LGM Auth-Checks validiert (https://www.notion.so/34191df4938681da9e32db745b023951?pvs=21), Phase 2 komplett validiert, Repo auf GitHub privat gesichert (https://www.notion.so/34291df493868126a998ee63e63c163a?pvs=21)",,🟧 Aktiv,PRJ-10,In Progress,"Neue API Keys erstellen + an alle Positionen einsetzen (Skripte + n8n Workflows + .env) (https://www.notion.so/33d91df49386818abb98e478fd56f02b?pvs=21), Cron auf Hetzner Server für HeroSoftware-Skripte einrichten (https://www.notion.so/33d91df493868189b95fd0f72d504452?pvs=21), WF Error Slack — Error-Notification + Reply-Push nach Slack bauen (https://www.notion.so/33d91df4938681f98f41fc45db1c9765?pvs=21), Prozessdokumentation HeroSoftware (komplett endkundenfertig für Robin) (https://www.notion.so/33d91df4938681aab3cbe99e8cd34830?pvs=21), Abrechnung Hero+Maddox (https://www.notion.so/34291df49386801ab98bfedb9c10f49e?pvs=21)","Attio, Clay, Hetzner, LGM, Python, n8n",Client
